OBJECTID,ID,CNAME,CNAME_S,ENAME,SHAPE_Length,SHAPE_Area
1,1,黃大仙區,黄大仙区,WONG TAI SIN,0.156227848543971,0.000815633240010983
2,6,九龍城區,九龙城区,KOWLOON CITY,0.2736677774979,0.000884061334818419
3,7,觀塘區,观塘区,KWUN TONG,0.220475344160759,0.000987010669011356
4,8,西貢區,西贡区,SAI KUNG,3.15470031910926,0.0119628357028591
5,11,北區,北区,NORTH,1.6716967851904,0.0120704170113629
6,13,中西區,中西区,CENTRAL & WESTERN,0.231893816241946,0.0010905975999387
7,14,灣仔區,湾仔区,WAN CHAI,0.168909403795922,0.000867380867357437
8,15,東區,东区,EASTERN,0.313439324834968,0.00163109485667418
9,17,屯門區,屯门区,TUEN MUN,0.859429785576998,0.00740218340768576
10,18,元朗區,元朗区,YUEN LONG,0.790774104816285,0.0122966463829732
11,16,南區,南区,SOUTHERN,0.976237906644126,0.00346947721933988
12,2,離島區,离岛区,ISLANDS,3.05669175071306,0.0156309231996617
13,4,深水埗區,深水埗区,SHAM SHUI PO,0.246297705283544,0.000821687994174124
14,5,油尖旺區,油尖旺区,YAU TSIM MONG,0.201043018699684,0.000614238871905191
15,3,葵青區,葵青区,KWAI TSING,0.487707770847229,0.00204634018398449
16,12,荃灣區,荃湾区,TSUEN WAN,0.830662454057515,0.00547441922556272
17,9,大埔區,大浦区,TAI PO,2.01369331117947,0.012997587718797
18,10,沙田區,沙田区,SHA TIN,0.491069012017112,0.00606582884761881
